Column Name,% Missing Values
Age,0.0
Occupation,0.0
Annual_Income,0.0
Monthly_Inhand_Salary,0.15002
Num_Bank_Accounts,0.0
Num_Credit_Card,0.0
Interest_Rate,0.0
Num_of_Loan,0.0
Delay_from_due_date,0.0
Num_of_Delayed_Payment,0.07646
Changed_Credit_Limit,0.02091
Num_Credit_Inquiries,0.01965
Credit_Mix,0.0
Outstanding_Debt,0.0
Credit_Utilization_Ratio,0.0
Credit_History_Age,0.0903
Payment_of_Min_Amount,0.0
Total_EMI_per_month,0.0
Amount_invested_monthly,0.04479
Payment_Behaviour,0.0
Monthly_Balance,0.012
Credit_Score,0.0
